Maria,F,4810
Matilde,F,2062
Leonor,F,1859
João,M,1809
Rodrigo,M,1783
Francisco,M,1718
Martim,M,1663
Santiago,M,1428
Tomás,M,1400
Afonso,M,1378
Beatriz,F,1378
Mariana,F,1332
Carolina,F,1295
Duarte,M,1244
Miguel,M,1208
Guilherme,M,1206
Tiago,M,1140
Gonçalo,M,1133
Diogo,M,1129
Gabriel,M,1128
Ana,F,1120
Inês,F,1062
Pedro,M,1061
Rafael,M,993
Salvador,M,993
Sofia,F,980
Margarida,F,930
Lara,F,929
Dinis,M,810
Lucas,M,772
Simão,M,720
Joana,F,708
Gustavo,M,706
David,M,689
José,M,683
Laura,F,651
Francisca,F,650
Vicente,M,648
Lourenço,M,622
Maria Inês,F,603
Diego,M,595
Diana,F,573
Daniel,M,542
António,M,519
Mafalda,F,517
Madalena,F,511
Clara,F,504
Luana,F,500
Maria Leonor,F,496
André,M,492
Vasco,M,490
Sara,F,488
Bianca,F,482
Alice,F,461
Manuel,M,455
Rita,F,444
Íris,F,442
Henrique,M,433
Constança,F,421
Leonardo,M,383
Bernardo,M,378
Letícia,F,360
Mateus,M,357
Eva,F,350
João Pedro,M,343
Gabriela,F,340
Camila,F,326
Luís,M,319
Yara,F,315
Maria Francisca,F,315
Benedita,F,313
Mara,F,312
Eduardo,M,306
Alexandre,M,301
Leandro,M,299
Catarina,F,295
Ariana,F,278
Maria Clara,F,257
Filipe,M,248
Enzo,M,248
Ricardo,M,244
Ema,F,244
Vitória,F,243
Marta,F,242
Matias,M,231
Carlota,F,230
Rúben,M,220
Samuel,M,209
Iara,F,209
Rodrigo Miguel,M,204
Yasmin,F,200
Nicole,F,198
Luísa,F,198
Daniela,F,190
Bruno,M,184
Núria,F,182
Pedro Miguel,M,174
Bruna,F,171
Isaac,M,169
Maria Carolina,F,164
Victória,F,163
Ana Carolina,F,161
Xavier,M,157
Alícia,F,157
Rafaela,F,157
Nuno,M,153
Helena,F,151
Miriam,F,150
Lia,F,147
Jéssica,F,147
Filipa,F,146
Carlos,M,144
Hugo,M,143
Júlia,F,143
Afonso Miguel,M,140
Maria João,F,140
Maria Beatriz,F,140
Érica,F,139
Bárbara,F,139
João Miguel,M,138
Rui,M,137
Teresa,F,137
Isabel,F,137
Diogo Miguel,M,136
Artur,M,134
Raquel,F,130
Lara Sofia,F,130
João Maria,M,127
Maria Luísa,F,125
Duarte Miguel,M,124
Tiago Miguel,M,123
Kyara,F,121
Maria Miguel,F,120
José Pedro,M,114
Melissa,F,112
Maria Rita,F,108
Fábio,M,107
Valentina,F,107
Carminho,F,107
Francisco Maria,M,104
Jorge,M,103
Juliana,F,101
José Maria,M,99
Adriana,F,98
Sebastião,M,97
Maria Teresa,F,95
Rodrigo Filipe,M,94
Paulo,M,93
Manuel Maria,M,93
Martim Alexandre,M,92
Ana Rita,F,92
Noa,F,91
Francisco Miguel,M,90
Luna,F,90
Leonor Sofia,F,90
Ana Beatriz,F,89
Joaquim,M,87
Francisco José,M,87
Leonor Maria,F,87
António Maria,M,86
Alexandra,F,86
Mariana Sofia,F,86
Matilde Sofia,F,86
José Miguel,M,85
João Francisco,M,85
Débora,F,83
Davi,M,82
Violeta,F,82
Maria Eduarda,F,82
Martim Filipe,M,80
Pilar,F,80
Ana Margarida,F,79
Mia,F,78
Rodrigo Alexandre,M,76
Mélanie,F,76
Tomás Miguel,M,75
Maria Madalena,F,74
Santiago Miguel,M,73
Gonçalo Filipe,M,73
Ana Sofia,F,73
Marco,M,72
Micael,M,71
Frederico,M,71
Soraia,F,71
Tiago Filipe,M,70
David Miguel,M,70
Diana Sofia,F,70
Miguel Ângelo,M,69
Matilde Maria,F,68
Mariana Filipa,F,68
Mário,M,67
Kevin,M,67
André Filipe,M,67
Tomás Filipe,M,67
Maria do Carmo,F,67
Inês Sofia,F,67
Gonçalo Miguel,M,65
Tatiana,F,65
Lara Filipa,F,65
Valentim,M,64
Ivo,M,64
Diogo Filipe,M,64
Gabriel Alexandre,M,64
Irina,F,64
Ivan,M,63
Beatriz Sofia,F,63
Beatriz Maria,F,63
Carolina Sofia,F,63
Francisco Manuel,M,62
Caetana,F,62
Bianca Sofia,F,62
Rafael Alexandre,M,61
Kelly,F,61
Cristiano,M,60
Kévim,M,60
Gabriel Filipe,M,60
Eduarda,F,60
Tomás Alexandre,M,59
Tiago Alexandre,M,59
Renato,M,58
Paloma,F,58
Tomé,M,57
Diogo Alexandre,M,57
Simão Pedro,M,57
Duarte Filipe,M,57
Ana Clara,F,57
Gonçalo Dinis,M,56
Ana Maria,F,56
Ângelo,M,55
Maiara,F,55
Ana Luísa,F,55
Daniel Filipe,M,54
Luís Miguel,M,54
Andreia,F,54
Santiago Filipe,M,53
João Filipe,M,53
Nádia,F,53
Fabiana,F,53
Luciana,F,53
Leonor Filipa,F,53
Maria Benedita,F,53
Laura Maria,F,52
Diego Miguel,M,50
Guilherme Filipe,M,50
Renata,F,50
Amélia,F,50
Dinis Miguel,M,49
Isabela,F,49
Naiara,F,49
Inês Filipa,F,49
Matilde Filipa,F,49
Jaime,M,48
Áurea,F,48
Maria Constança,F,48
Noah,M,47
Fernando,M,47
João Afonso,M,47
Santiago Alexandre,M,47
Maria Joana,F,47
Maria Margarida,F,47
Laura Sofia,F,47
Gil,M,46
Gustavo Miguel,M,46
Lorena,F,46
Matilde Alexandra,F,46
Joana Sofia,F,46
Benjamim,M,45
Leandro Filipe,M,45
João Tomás,M,45
Isis,F,45
Beatriz Filipa,F,45
João Dinis,M,44
Luana Filipa,F,44
Manel,M,43
Brian,M,43
Raissa,F,43
Matilde Isabel,F,43
Raúl,M,42
Joel,M,42
Vítor,M,42
António Pedro,M,42
Lourenço Miguel,M,42
Diana Filipa,F,42
Constança Maria,F,42
Emanuel,M,41
Sérgio,M,41
Edgar,M,41
William,M,41
Rodrigo Manuel,M,41
Diego Alexandre,M,41
Liliana,F,41
Patrícia,F,41
Rodrigo José,M,40
Aline,F,40
Lúcia,F,40
Ângela,F,40
Joana Filipa,F,40
Ana Francisca,F,40
André Miguel,M,39
Afonso José,M,39
Miguel Alexandre,M,39
Afonso Filipe,M,39
Maria Isabel,F,39
Luca,M,38
Isac,M,38
Nelson,M,38
Afonso Manuel,M,38
Rafael Filipe,M,38
Maria Luís,F,38
Sandro,M,37
Lisandro,M,37
César,M,37
Afonso Maria,M,37
Martim Miguel,M,37
Bruno Miguel,M,37
Guilherme Alexandre,M,37
Ariana Sofia,F,37
Carlota Maria,F,37
Beatriz Alexandra,F,37
Ismael,M,36
Duarte Alexandre,M,36
Dinis Alexandre,M,36
Tiago Manuel,M,36
Dinis Filipe,M,36
Pedro Henrique,M,36
Gabriel José,M,36
David Luís,M,36
Diogo Rafael,M,36
Afonso Dinis,M,36
Vera,F,36
Safira,F,36
Salomé,F,36
Sofia Alexandra,F,36
Clara Sofia,F,36
Luana Maria,F,36
Márcio,M,35
Yuri,M,35
Diego Filipe,M,35
João Manuel,M,35
Martim José,M,35
Daniel Alexandre,M,35
Guilherme Miguel,M,35
Rosa,F,35
Doriana,F,35
Maria Vitória,F,35
Maria Helena,F,35
Íris Sofia,F,35
Maria Gabriela,F,35
Wilson,M,34
João Tiago,M,34
Pedro Afonso,M,34
Luís Filipe,M,34
Nair,F,34
Mónica,F,34
Lara Beatriz,F,34
Francisca Maria,F,34
Ana Filipa,F,34
Luana Sofia,F,34
Ian,M,33
Gustavo Filipe,M,33
João Paulo,M,33
Emília,F,33
Simone,F,33
Flor,F,33
Lara Maria,F,33
Leonor Isabel,F,33
Miguel Filipe,M,32
Lucas Miguel,M,32
Cláudia,F,32
Emma,F,32
Larissa,F,32
Petra,F,32
Sofia Isabel,F,32
Carolina Alexandra,F,32
Inês Maria,F,32
Beatriz Isabel,F,32
Yara Filipa,F,32
Duarte Maria,M,31
Leandro Miguel,M,31
Gonçalo Alexandre,M,31
Tiago André,M,31
Elisa,F,31
Iris,F,31
Olívia,F,31
Yara Sofia,F,31
Alice Maria,F,31
Margarida Sofia,F,31
Sofia Maria,F,31
Alex,M,30
Lucas Gabriel,M,30
Pedro Filipe,M,30
